time,output,input,setpoint,delta,Flt
2025-07-31 15:10:58.195,50.015384674072266,124.40984344482422,124.40984344482422,-5.8943939208984375,50.015357971191406
2025-07-31 15:10:59.202,50.015384674072266,124.45132446289062,124.4261703491211,-6.0504913330078125,50.015357971191406
2025-07-31 15:11:00.193,50.015384674072266,124.40143585205078,124.40143585205078,-5.9728240966796875,50.015357971191406
2025-07-31 15:11:01.188,50.015384674072266,124.43275451660156,124.43275451660156,-5.8594512939453125,50.015357971191406
2025-07-31 15:11:02.196,50.015384674072266,124.4295654296875,124.3897476196289,-6.4147186279296875,50.015357971191406
2025-07-31 15:11:03.194,50.015384674072266,124.40425872802734,124.4025650024414,-6.2865447998046875,50.015357971191406
2025-07-31 15:11:04.199,50.015384674072266,124.40066528320312,124.40066528320312,-6.3055419921875,50.015357971191406
2025-07-31 15:11:05.204,50.015384674072266,124.42620849609375,124.42620849609375,-6.05010986328125,50.015357971191406
2025-07-31 15:11:06.221,50.015384674072266,124.41747283935547,124.41747283935547,-6.1374664306640625,50.015357971191406
2025-07-31 15:11:07.226,50.015384674072266,124.44331359863281,124.44331359863281,-5.879058837890625,50.015357971191406
2025-07-31 15:11:08.225,50.015384674072266,124.40509796142578,124.40509796142578,-6.2612152099609375,50.015357971191406
2025-07-31 15:11:09.238,50.015384674072266,124.39198303222656,124.39198303222656,-6.392364501953125,50.015357971191406
2025-07-31 15:11:10.259,50.015384674072266,124.41081237792969,124.41081237792969,-6.204071044921875,50.015357971191406
2025-07-31 15:11:11.280,50.015384674072266,124.40626525878906,124.40443420410156,-6.267852783203125,50.015357971191406
2025-07-31 15:11:12.271,50.015384674072266,124.47895050048828,124.47895050048828,-5.929718017578125,50.015357971191406
2025-07-31 15:11:13.291,50.015384674072266,124.46514129638672,124.46514129638672,-5.6607818603515625,50.015357971191406
2025-07-31 15:11:14.293,50.015384674072266,124.41692352294922,124.41692352294922,-6.1429595947265625,50.015357971191406
2025-07-31 15:11:15.284,50.015384674072266,124.43437957763672,124.43437957763672,-5.9683990478515625,50.015357971191406
2025-07-31 15:11:16.285,50.015384674072266,124.42483520507812,124.42483520507812,-6.0638427734375,50.015357971191406
2025-07-31 15:11:17.306,50.015384674072266,124.38361358642578,124.38361358642578,-6.4760589599609375,50.015357971191406
2025-07-31 15:11:18.325,50.015384674072266,124.41766357421875,124.41766357421875,-6.13555908203125,50.015357971191406
2025-07-31 15:11:19.316,50.015384674072266,124.41645812988281,124.41645812988281,-6.147613525390625,50.015357971191406
2025-07-31 15:11:20.318,50.015384674072266,124.41586303710938,124.41586303710938,-6.153564453125,50.015357971191406
2025-07-31 15:11:21.321,50.015384674072266,124.41555786132812,124.41555786132812,-6.1566162109375,50.015357971191406
2025-07-31 15:11:22.328,50.015384674072266,124.41539764404297,124.41539764404297,-6.1582183837890625,50.015357971191406
2025-07-31 15:11:23.333,50.015384674072266,124.41532897949219,124.41532897949219,-6.158905029296875,50.015357971191406
2025-07-31 15:11:24.329,50.015384674072266,124.45173645019531,124.45173645019531,-5.794830322265625,50.015357971191406
2025-07-31 15:11:25.331,50.015384674072266,124.41529846191406,124.41529846191406,-6.159210205078125,50.015357971191406
2025-07-31 15:11:26.337,50.015384674072266,124.41529846191406,124.41529846191406,-5.794830322265625,50.015357971191406
2025-07-31 15:11:27.339,50.015384674072266,124.46236419677734,124.46236419677734,-6.0599517822265625,50.015357971191406
2025-07-31 15:11:28.342,50.015384674072266,124.42059326171875,124.42024230957031,-6.109771728515625,50.015357971191406
2025-07-31 15:11:29.348,50.015384674072266,124.45437622070312,124.45419311523438,-5.770263671875,50.015357971191406
2025-07-31 15:11:30.348,50.015384674072266,124.4166030883789,124.45294952392578,-5.7826995849609375,50.015357971191406
2025-07-31 15:11:31.351,50.015384674072266,124.41588592529297,124.41588592529297,-6.1533355712890625,50.015357971191406
2025-07-31 15:11:32.358,50.015384674072266,124.41557312011719,124.41557312011719,-6.156463623046875,50.015357971191406
2025-07-31 15:11:33.365,50.015384674072266,124.45184326171875,124.45184326171875,-5.79376220703125,50.015357971191406
2025-07-31 15:11:34.364,50.015384674072266,124.45177459716797,124.45177459716797,-5.7944488525390625,50.015357971191406
2025-07-31 15:11:35.387,50.015384674072266,124.45173645019531,124.45173645019531,-5.794830322265625,50.015357971191406
2025-07-31 15:11:36.400,50.515384674072266,124.45173645019531,124.45173645019531,-5.794830322265625,50.0486946105957
2025-07-31 15:11:37.394,55.515384674072266,124.45173645019531,124.45173645019531,-5.794830322265625,51.79256820678711
2025-07-31 15:11:38.403,60.015384674072266,124.41529846191406,124.41529846191406,-6.159210205078125,55.12592697143555
2025-07-31 15:11:39.397,60.015384674072266,124.41529846191406,124.41529846191406,-6.159210205078125,57.562774658203125
2025-07-31 15:11:40.413,60.015384674072266,124.41529846191406,124.41529846191406,-6.159210205078125,58.86714172363281
2025-07-31 15:11:41.416,60.015384674072266,124.41529846191406,124.41529846191406,-6.159210205078125,59.439414978027344
2025-07-31 15:11:42.433,60.015384674072266,124.37884521484375,124.37884521484375,-6.52374267578125,59.726470947265625
2025-07-31 15:11:43.440,60.015384674072266,124.37884521484375,124.37884521484375,-6.52374267578125,59.870460510253906
2025-07-31 15:11:44.457,60.015384674072266,124.34241485595703,124.34241485595703,-6.8880462646484375,59.94268798828125
2025-07-31 15:11:45.472,60.015384674072266,124.34241485595703,124.34241485595703,-6.8880462646484375,59.97892379760742
2025-07-31 15:11:46.490,60.015384674072266,124.34241485595703,124.34241485595703,-6.8880462646484375,59.998313903808594
